uploaderId,type,id,live_status
@ORAFKUN,streams,3v4jHPb4Qj4,was_live
@ORAFKUN,streams,C38s4_1kVfw,was_live
@ORAFKUN,streams,ySPaT3ePnYo,was_live
@ORAFKUN,streams,x43YTQX1ixg,was_live
@ORAFKUN,streams,3duWE2GGHqY,was_live
@ORAFKUN,streams,w2Qfz8nflEI,was_live
@ORAFKUN,streams,speTtqxQf-M,was_live
@ORAFKUN,streams,IOgpNBKZoiA,was_live
@ORAFKUN,streams,UKBlSAPwh7Q,was_live
@ORAFKUN,streams,vWFPHPF75gM,was_live
@ORAFKUN,streams,jKDUJqUdXU4,was_live
@ORAFKUN,streams,3Qt2zXLLCts,was_live
@ORAFKUN,streams,J2VrKhQrwyc,was_live
@ORAFKUN,streams,JvfKxuDt0AQ,was_live
@ORAFKUN,streams,8qidKzuKZN4,was_live
@ORAFKUN,streams,FM_mnIEjRCI,was_live
@ORAFKUN,streams,zVJzQwykvnw,was_live
@ORAFKUN,streams,l7ie-bNB2As,was_live
@ORAFKUN,streams,lJv7ZuxjS98,was_live
@ORAFKUN,streams,8tCA9Hy5uus,was_live
@ORAFKUN,streams,fwhwIbZoa5k,was_live
@ORAFKUN,streams,Q5DyGqODxl4,was_live
@ORAFKUN,streams,AQ6OyN0UeJc,was_live
@ORAFKUN,streams,BHKheAkmaL8,was_live
@ORAFKUN,streams,KP9KW3AB0vc,was_live
@ORAFKUN,streams,sezPhl5pd6I,was_live
@ORAFKUN,streams,go2A76q3K84,was_live
@ORAFKUN,streams,3k9LggIWvQg,was_live
@ORAFKUN,streams,Oh_sJ1mk2Bw,was_live
@ORAFKUN,streams,9XE-LWYC8gE,was_live
@ORAFKUN,streams,OwlX8DrcOlI,was_live
@ORAFKUN,streams,17kU2ZfHENQ,was_live
@ORAFKUN,streams,y9_BOPNgk2M,was_live
@ORAFKUN,streams,Xod3YGGmmlc,was_live
@ORAFKUN,streams,6FYjPqoW8Ts,was_live
@ORAFKUN,streams,tQG-7oDol20,was_live
@ORAFKUN,streams,Bw9Vn2dEZWw,was_live
@ORAFKUN,streams,h9I0W6gZlNU,was_live
@ORAFKUN,streams,QkPD8J-mkto,was_live
@ORAFKUN,streams,qxLJmvkGkNE,was_live
@ORAFKUN,streams,cgCVOQwKWFc,was_live
@ORAFKUN,streams,XK68hxUIU0I,was_live
@ORAFKUN,streams,PKap2wpPhBo,was_live
@ORAFKUN,streams,AunTXcKVHoU,was_live
@ORAFKUN,streams,bjPUiUMkan0,was_live
@ORAFKUN,streams,O4HAMnd8sSg,was_live
@ORAFKUN,streams,IjTbR02LUvQ,was_live
@ORAFKUN,streams,YvVN7Xg9eyg,was_live
@ORAFKUN,streams,n1_kVdH2Z7s,was_live
@ORAFKUN,streams,o6_u4pnpoZQ,was_live
@ORAFKUN,streams,44CeEMrqSDY,was_live
@ORAFKUN,streams,2ZKYBt7hvYM,was_live
@ORAFKUN,streams,4Q0zveAS6c0,was_live
@ORAFKUN,streams,W3gkcQFJh9I,was_live
@ORAFKUN,streams,PekcEv0qNmQ,was_live
@ORAFKUN,streams,ghB4rwfm34s,was_live
@ORAFKUN,streams,_bViou6S260,was_live
@ORAFKUN,streams,lQxCxXoziWw,was_live
@ORAFKUN,streams,orSN9hSfG0w,was_live
@ORAFKUN,streams,P_S7r3N2IGQ,was_live
@ORAFKUN,streams,aI2tF9TJbZo,was_live
@ORAFKUN,streams,-eLGjyjxkI0,was_live
@ORAFKUN,streams,IY0j4biSnUk,was_live
@ORAFKUN,streams,jZXlb6qRzOE,was_live
@ORAFKUN,streams,uFPv-yyscn8,was_live
@ORAFKUN,streams,7heomNoTa8U,was_live
@ORAFKUN,streams,-J0FpqMdBio,was_live
@ORAFKUN,streams,1fy8JGWCF84,was_live
@ORAFKUN,streams,jzhi9B_Oc4A,was_live
@ORAFKUN,streams,-Xub855ykLg,was_live
@ORAFKUN,streams,vWaxAnL2lWw,was_live
@ORAFKUN,streams,64G5kiMaqvc,was_live
@ORAFKUN,streams,V4N-anoJp0A,was_live
@ORAFKUN,streams,HvBSgFBjKGU,was_live
@ORAFKUN,streams,XccmkwBGzJI,was_live
@ORAFKUN,streams,eKmkncLAA4g,was_live
@ORAFKUN,streams,mBgeRAPWjZo,was_live
@ORAFKUN,streams,cp1gze9zNjM,was_live
@ORAFKUN,streams,fIqXsdSUEQc,was_live
@ORAFKUN,streams,4f0OaJmR0Lw,was_live
@ORAFKUN,streams,jj2ItRjAVTI,was_live
@ORAFKUN,streams,WeZ2fUA83z0,was_live
@ORAFKUN,streams,01i6Syyyq2U,was_live
@ORAFKUN,streams,y31TrdABMAc,was_live
@ORAFKUN,streams,NUciN_hDyDo,was_live
@ORAFKUN,streams,28kIlRVF1LM,was_live
@ORAFKUN,streams,Bs-TeLFi6YM,was_live
@ORAFKUN,streams,77RDMt8Vrhk,was_live
@ORAFKUN,streams,fbgH5Qos74c,was_live
@ORAFKUN,streams,W5K7yMt2Nv0,was_live
@ORAFKUN,streams,TuhurS4bQI4,was_live
@ORAFKUN,streams,snxCaomA-As,was_live
@ORAFKUN,streams,T0kz8XUrx6g,was_live
@ORAFKUN,streams,TQ-BmP7XNE0,was_live
@ORAFKUN,streams,kyiV6yCGPao,was_live
@ORAFKUN,streams,sX0aqzf4764,was_live
@ORAFKUN,streams,j47WVGIvWnY,was_live
@ORAFKUN,streams,aBdpVh1WBww,was_live
@ORAFKUN,streams,0pxzfW4ooqg,was_live
@ORAFKUN,streams,siWoZ706D7A,was_live
@ORAFKUN,streams,DcLOcGLNMrY,was_live
@ORAFKUN,streams,_4xI_seEr_k,was_live
@ORAFKUN,streams,RoFukddswgo,was_live
@ORAFKUN,streams,bc1SVF4zG9Y,was_live
@ORAFKUN,streams,cvJu5m4U8Pc,was_live
@ORAFKUN,streams,xNWwU-3z6pA,was_live
@ORAFKUN,streams,jdtICUO8lmk,was_live
@ORAFKUN,streams,wYxvwkpP2DY,was_live
@ORAFKUN,streams,iE7Ov0W-3Aw,was_live
@ORAFKUN,streams,9PMXgAtwevs,was_live
@ORAFKUN,streams,ur-52y5IJq4,was_live
@ORAFKUN,streams,eX9n03MJC9s,was_live
@ORAFKUN,streams,ujtqViz8jMA,was_live
@ORAFKUN,streams,9Bz3mUpOwgs,was_live
@ORAFKUN,streams,P-cta-TTjos,was_live
@ORAFKUN,streams,WC7vyAydqDM,was_live
@ORAFKUN,streams,FzK_IBB1d-A,was_live
@ORAFKUN,streams,ulC68cGtI0o,was_live
@ORAFKUN,streams,fGzxdtcXG44,was_live
@ORAFKUN,streams,QwjFCw4_hno,was_live
@ORAFKUN,streams,XgkqLIVOteM,was_live
@ORAFKUN,streams,50x6EaomfuM,was_live
@ORAFKUN,streams,kAxfJAtidbg,was_live
@ORAFKUN,streams,0UfaBzrFsno,was_live
@ORAFKUN,streams,6Nm6e35sK8k,was_live
@ORAFKUN,streams,o7fd_3HI1L0,was_live
@ORAFKUN,streams,IaQ5pBjmv24,was_live
@ORAFKUN,streams,qyRDUuV6Hro,was_live
@ORAFKUN,streams,Tgz4P7p6Ois,was_live
@ORAFKUN,streams,zdF4EYloEZY,was_live
@ORAFKUN,streams,vnEhMpBejGk,was_live
@ORAFKUN,streams,SCWWoln11g0,was_live
@ORAFKUN,streams,2TbsdG8kTFM,was_live
@ORAFKUN,streams,MPjt1B0hIaA,was_live
@ORAFKUN,streams,A4rXfSfi5U4,was_live
@ORAFKUN,streams,zInX3mebjRc,was_live
@ORAFKUN,streams,3SAvkwrxNNA,was_live
@ORAFKUN,streams,0TtgrJgSc7I,was_live
@ORAFKUN,streams,q2tkP7caXiw,was_live
@ORAFKUN,streams,PhijZrc15UU,was_live
@ORAFKUN,streams,7ZkmijEuHlg,was_live
@ORAFKUN,streams,Z98T7dGBnSc,was_live
@ORAFKUN,streams,nmYdAUZK-bE,was_live
@ORAFKUN,streams,NaKD7fwpimM,was_live
@ORAFKUN,streams,80JYQKm0eOo,was_live
@ORAFKUN,streams,KA-pZpSlCG4,was_live
@ORAFKUN,streams,kKvxBXe01v8,was_live
@ORAFKUN,streams,pA_5n7rODmY,was_live
@ORAFKUN,streams,HJCIX46ebQc,was_live
@ORAFKUN,streams,pW_lI366CxE,was_live
@ORAFKUN,streams,1SglHpFQMRA,was_live
@ORAFKUN,streams,OlUyJmIxuo0,was_live
@ORAFKUN,streams,ZYNeIER05OI,was_live
@ORAFKUN,streams,FEPw3deNXZY,was_live
@ORAFKUN,streams,DxRXxeqFBJo,was_live
@ORAFKUN,streams,h7kdIwS-TMA,was_live
@ORAFKUN,streams,7Trmaalt700,was_live
@ORAFKUN,streams,YJBDIK4Se9g,was_live
@ORAFKUN,streams,S-blwDoQVrU,was_live
@ORAFKUN,streams,RcZmEk_krvg,was_live
@ORAFKUN,streams,8Ns6zV6bRyw,was_live
@ORAFKUN,streams,t8WRKiukdQw,was_live
@ORAFKUN,streams,uqnwvQ_Sa_8,was_live
@ORAFKUN,streams,OcHmU2Pnizc,was_live
@ORAFKUN,streams,O9Tgz3EdpDM,was_live
@ORAFKUN,streams,DIzSVOUiSyg,was_live
@ORAFKUN,streams,nQRq02VrpqA,was_live
@ORAFKUN,streams,JYLYx0E1dJs,was_live
@ORAFKUN,streams,ecDfJJdABnI,was_live
@ORAFKUN,streams,aA8YAYmnVg8,was_live
@ORAFKUN,streams,S2nTecFc1XY,was_live
